,nommun,estado,eventos,inm_30km,distancia_metros,latitud,facility_count_57,facility_count_67,facility_count_77,facility_count_87,facility_count_97
184,"Pachuca de Soto, Hidalgo",Hidalgo,42,1,995635,20.1165413,0,0,0,0,0
185,"Santo Domingo Yanhuitlan, Oaxaca",Oaxaca,44,0,796665,17.5273478,0,0,0,0,0
186,"Irapuato, Guanajuato",Guanajuato,43,0,1283993,20.6758761,0,0,0,0,0
187,"Atlacomulco, Estado de Mexico",Estado de Mexico,51,0,1116302,19.81591915,0,0,0,0,0
188,"Calera, Zacatecas",Zacatecas,42,0,1634615,22.97848,0,0,0,0,0
189,"Cienega de Flores, Nuevo Leon",Nuevo Leon,41,0,1685478,25.956169,1,2,2,2,2
190,"Playas de Rosarito, Baja California",Baja California,38,1,4090519,32.25812915,0,0,0,0,0
191,"Villa de Tututepec, Oaxaca",Oaxaca,37,0,803746,16.1303062,0,0,0,0,0
192,"Santa Maria Mixtequilla, Oaxaca",Oaxaca,37,0,454851,16.374444,0,1,1,1,1
193,"San Bartolo Soyaltepec, Oaxaca",Oaxaca,36,0,798804,17.57706925,0,0,0,0,0
194,"San Pedro Pochutla, Oaxaca",Oaxaca,36,1,653283,15.744444,0,0,0,0,0
195,"Mapastepec, Chiapas",Chiapas,35,0,133622,15.43981,0,0,0,0,0
196,"San Pablo Etla, Oaxaca",Oaxaca,35,1,715592,17.1450449,0,1,1,2,3
197,"El Carmen, Nuevo Leon",Nuevo Leon,35,0,1690397,25.9368419,2,3,3,3,4
198,"General Zuazua, Nuevo Leon",Nuevo Leon,35,0,1686869,25.8953873,1,2,2,2,2
199,"Tepeapulco, Hidalgo",Hidalgo,35,0,954439,19.7875962,0,0,0,0,0
200,"Agua Prieta, Sonora",Sonora,35,1,2938631,31.3305591,0,0,0,0,0
201,"Hualahuises, Nuevo Leon",Nuevo Leon,34,0,1542629,24.8838044,0,0,0,0,0
202,"Tlaxcala, Tlaxcala",Tlaxcala,3,1,906098,19.416667,3,3,3,3,3
203,"Tzompantepec, Tlaxcala",Tlaxcala,33,1,874065,19.38326045,2,2,2,2,2
204,"Victoria, Tamaulipas",Tamaulipas,33,0,1366501,23.7389846,0,0,0,0,0
205,"Acapulco de Juarez, Guerrero",Guerrero,32,0,1454199,16.8680495,0,0,0,0,0
206,"San Andres Huaxpaltepec, Oaxaca",Oaxaca,31,0,845650,16.3411829,0,0,0,0,0
207,"Altar, Sonora",Sonora,,0,3113353,30.7170323,0,0,0,0,0
208,"Chilpancingo de los Bravo, Guerrero",Guerrero,30,0,1348757,17.5542149,0,0,0,0,0
209,"Comonfort, Guanajuato",Guanajuato,29,0,1239127,20.7199475,0,0,0,0,0
210,"Ensenada, Baja California",Baja California,26,0,4122087,31.8658887,0,0,0,0,0
211,"Medellin de Bravo, Veracruz",Veracruz,27,1,687357,19.0404677,0,0,0,0,0
212,"Calpulalpan, Tlaxcala",Tlaxcala,25,0,931725,19.587778,0,0,0,0,0
213,"Francisco I. Madero, Coahuila",Coahuila,,0,2001997,26.23755265,0,0,0,0,0
214,"Concepcion Buenavista, Oaxaca",Oaxaca,25,0,840651,17.8781515,0,0,0,0,0
215,"Isla Mujeres, Quintana Roo",Quintana Roo,24,0,395756,21.2371906,1,1,1,1,1
216,"Cozumel, Quintana Roo",Quintana Roo,24,0,341133,20.4320599,0,0,0,0,0
217,"Santiago, Nuevo Leon",Nuevo Leon,23,0,1626660,25.4243595,0,0,0,0,0
218,"Mapimi, Durango",Durango,23,0,2022573,25.8337403,0,0,0,0,0
219,"Mineral de la Reforma, Hidalgo",Hidalgo,22,1,989002,20.06063885,0,0,0,0,0
220,"Tenabo, Campeche",Campeche,21,0,,20.0406607,0,0,0,0,0
221,"Apaseo el Grande, Guanajuato",Guanajuato,22,0,1209772,20.59193265,0,0,1,1,1
222,"Nezahualcoyotl, Estado de Mexico",Estado de Mexico,22,1,969262,19.4079028,2,2,3,3,3
223,"Naranjos Amatlan, Veracruz",Veracruz,21,0,1017942,21.3093326,0,0,0,0,0
224,"Cuernavaca, Morelos",Morelos,19,0,1225450,18.9218274,0,0,0,0,0
225,"Jesus Maria, Aguascalientes",Aguascalientes,399,1,1483041,21.9345555,0,0,0,0,0
226,"San Pedro Totolapam, Oaxaca",Oaxaca,20,0,723062,15.8659835,0,0,0,0,0
227,"Linares, Nuevo Leon",Nuevo Leon,19,0,1529703,24.8596282,0,0,0,0,0
228,"Escuintla, Chiapas",Chiapas,19,2,114031,15.35100255,2,2,2,2,2
229,"Tulancingo de Bravo, Hidalgo",Hidalgo,19,0,1009325,20.0792094,0,0,0,0,0
230,"Chapulhuacan, Hidalgo",Hidalgo,18,0,1230375,21.1263192,0,0,0,0,0
231,"San Francisco de los Romo, Aguascalientes",Aguascalientes,18,1,1495362,22.0746282,0,0,0,0,0
232,"Salinas Victoria, Nuevo Leon",Nuevo Leon,18,0,1709835,26.1216805,1,1,1,1,1
233,"Angel R. Cabada, Veracruz",Veracruz,21,0,583334,18.5927238,0,0,0,0,0
234,"Cosoleacaque, Veracruz",Veracruz,20,0,406218,18.0060183,0,0,0,0,0
235,"Garcia, Nuevo Leon",Nuevo Leon,17,1,1666210,25.6651753,1,2,2,2,3
236,"Amatlan de los Reyes, Veracruz",Veracruz,17,0,680045,18.87251165,1,2,2,2,3
237,"Nativitas, Tlaxcala",Tlaxcala,17,2,878090,19.233333,2,2,3,3,3
238,"Chiautempan, Tlaxcala",Tlaxcala,16,2,892775,19.313889,3,3,3,3,3
239,"Miguel Aleman, Tamaulipas",Tamaulipas,16,1,1743928,26.3995446,0,0,0,0,0
240,"El Marques, Queretaro",Queretaro,,0,1187780,20.73507785,0,0,1,1,1
241,"Martinez de la Torre, Veracruz",Veracruz,15,0,861151,20.1197165,0,0,0,0,0
242,"Frontera Hidalgo, Chiapas",Chiapas,1356,1,1190,14.7531678,3,4,4,4,4
243,"Palizada, Campeche",Campeche,21,0,155838,18.2549484,0,0,0,0,0
244,"San Miguel de Allende, Guanajuato",Guanajuato,16,0,1233678,20.9142238,0,0,0,0,0
245,"Isla, Veracruz",Veracruz,15,0,528250,18.0276212,0,0,0,0,0
246,"Aldama, Tamaulipas",Tamaulipas,14,0,1221491,22.9196081,0,0,0,0,0
247,"Zihuatanejo de Azueta, Guerrero",Guerrero,14,1,1717296,17.80789995,0,0,0,0,0
248,"Santiago Niltepec, Oaxaca",Oaxaca,14,0,371122,16.5614134,0,0,0,0,0
249,"Villa de Tezontepec, Hidalgo",Hidalgo,17,1,1000362,19.9143587,0,0,0,0,0
250,"Hueyotlipan, Tlaxcala",Tlaxcala,14,1,930226,19.469444,1,1,1,1,1
251,"Tizayuca, Hidalgo",Hidalgo,15,0,1000096,19.841245,1,1,1,1,1
252,"Tierra Blanca, Veracruz",Veracruz,13,0,599687,18.5272475,0,0,0,0,0
253,"Miahuatlan de Porfirio Diaz, Oaxaca",Oaxaca,12,0,752634,16.3610815,0,0,0,0,0
254,"Asuncion Nochixtlan, Oaxaca",Oaxaca,13,0,784964,17.457222,0,0,0,0,0
255,"Sanctorum de Lazaro Cardenas, Tlaxcala",Tlaxcala,13,0,919544,19.4925,1,1,1,1,1
256,"Tulum, Quintana Roo",Quintana Roo,13,0,253452,20.1692965,0,0,0,0,0
257,"Paras, Nuevo Leon",Nuevo Leon,13,0,1784199,26.4993853,0,0,0,0,0
258,"Ixtapaluca, Estado de Mexico",Estado de Mexico,11,1,949143,19.3129326,2,2,2,2,2
259,"Doctor Arroyo, Nuevo Leon",Nuevo Leon,11,0,1604117,23.80420455,0,0,0,0,0
260,"Culiacan, Sinaloa",Sinaloa,11,0,2194672,24.7978965,0,0,0,0,0
261,"El Espinal, Oaxaca",Oaxaca,10,1,427981,16.4609135,1,1,1,1,1
262,"Santa Maria Coyotepec, Oaxaca",Oaxaca,9,1,706752,16.9716988,0,1,1,2,2
263,"Minatitlan, Veracruz",Veracruz,10,0,403180,17.992773,0,0,0,0,0
264,"Ciudad Ixtepec, Oaxaca",Oaxaca,10,1,434934,16.5564139,1,1,1,1,1
265,"Santa Cruz Quilehtla, Tlaxcala",Tlaxcala,9,2,872375,19.212222,3,3,4,4,4
266,"Salto de Agua, Chiapas",Chiapas,9,1,111398,17.4348976,1,1,1,1,1
