,ciudad,latitude,longitude,etiqueta,entidad federativa / municipio,presentados 1,canalizados 1,subtotal 1,presentados 2,canalizados 2,subtotal 2,presentados 3,canalizados 3,subtotal 3,presentados 4,canalizados 4,subtotal 4,presentados 5,canalizados 5,subtotal 5,presentados 6,canalizados 6,subtotal 6,presentados 7,canalizados 7,subtotal 7,presentados 8,canalizados 8,subtotal 8,presentados 9,canalizados 9,subtotal 9,presentados 10,canalizados 10,subtotal 10,presentados 11,canalizados 11,subtotal 11,presentados 12,canalizados 12,subtotal 12,presentados total,canalizados total,total
323,"Tlaxco, Tlaxcala",19.62058645,-98.1707601,municipio,"Xaltocan, Tlax.",1,8,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,156,136,292,0,0,0,0,0,0,0,0,0,157,144,301
83,"Acambay de Ruíz Castañeda, México",19.95904705,-99.84802086,municipio,"Ecatepec de Morelos, Méx.",0,0,0,0,0,0,123,10,133,1,0,1,0,0,0,1,0,1,0,0,0,20,21,41,0,0,0,0,0,0,9,0,9,0,0,0,154,31,185
140,"Apatzingán, Michoacán",19.0913792,-102.3537356,municipio,"Zinapécuaro, Mich.",0,0,0,0,14,14,0,0,0,7,0,7,0,0,0,7,0,7,0,0,0,5,5,10,5,0,5,59,2,61,18,2,20,41,11,52,142,34,176
81,"Gómez Palacio, Durango",25.5732473,-103.494779,municipio,"Chalco, Méx.",0,0,0,0,0,0,0,0,0,29,2,31,0,0,0,0,0,0,34,40,74,71,229,300,6,0,6,0,0,0,0,0,0,0,0,0,140,271,411
30,"Copainalá, Chiapas",17.0930214,-93.2102105,municipio,"Comitán de Domínguez, Chis.",35,12,47,41,6,47,37,9,46,21,6,27,0,0,0,0,1,1,1,0,1,0,0,0,2,2,4,2,1,3,0,2,2,0,0,0,139,39,178
13,"Calkiní, Campeche",20.3695121,-90.0510784,municipio,"Calakmul, Camp.",0,0,0,0,0,0,0,0,0,31,13,44,72,41,113,0,0,0,1,0,1,0,0,0,1,0,1,0,6,6,8,6,14,21,11,32,134,77,211
250,"Ahome, Sinaloa",25.9240491,-109.2058344,municipio,"Caborca, Son.",0,0,0,0,0,0,0,0,0,0,0,0,0,32,32,131,241,372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,9,131,282,413
166,"General Bravo, Nuevo León",25.7932962,-99.1811424,municipio,"Juárez, NL",56,22,78,0,0,0,58,35,93,8,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,123,57,180
288,"González, Tamaulipas",22.79038735,-98.57631896,municipio,"Nuevo Laredo, Tamps.",13,9,22,13,0,13,38,9,47,57,2,59,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,123,20,143
207,"San Miguel Tequixtepec, Oaxaca",17.801944,-97.340556,municipio,"San Pedro Tapanatepec, Oax.",16,6,22,58,70,128,15,37,52,10,17,27,0,0,0,0,0,0,0,6,6,0,8,8,3,1,4,9,1,10,1,16,17,9,0,9,121,162,283
