ciudad,estado,detenciones
"Villa Aldama, Veracruz",Veracruz, 3
"Xalapa, Veracruz",Veracruz, 109
"Yanga, Veracruz",Veracruz, 62
"Merida, Yucatan",Yucatan, 931
"Progreso, Yucatan",Yucatan, 3
"Valladolid, Yucatan",Yucatan, 5
"Calera, Zacatecas",Zacatecas, 42
"Jerez, Zacatecas",Zacatecas, 1
"Trancoso, Zacatecas",Zacatecas, 96
"Zacatecas, Zacatecas",Zacatecas, 986
