ID_Poligono,geometry
PG273,"POLYGON ((-110 12, -109 12, -109 11, -110 11, -110 12))"
PG274,"POLYGON ((-110 13, -109 13, -109 12, -110 12, -110 13))"
PG275,"POLYGON ((-110 14, -109 14, -109 13, -110 13, -110 14))"
PG276,"POLYGON ((-110 15, -109 15, -109 14, -110 14, -110 15))"
PG277,"POLYGON ((-110 16, -109 16, -109 15, -110 15, -110 16))"
PG278,"POLYGON ((-110 17, -109 17, -109 16, -110 16, -110 17))"
PG279,"POLYGON ((-110 18, -109 18, -109 17, -110 17, -110 18))"
PG280,"POLYGON ((-110 19, -109 19, -109 18, -110 18, -110 19))"
PG281,"POLYGON ((-110 20, -109 20, -109 19, -110 19, -110 20))"
PG282,"POLYGON ((-110 21, -109 21, -109 20, -110 20, -110 21))"
PG283,"POLYGON ((-110 22, -109 22, -109 21, -110 21, -110 22))"
PG284,"POLYGON ((-110 23, -109 23, -109 22, -110 22, -110 23))"
PG285,"POLYGON ((-110 24, -109 24, -109 23, -110 23, -110 24))"
PG286,"POLYGON ((-110 25, -109 25, -109 24, -110 24, -110 25))"
PG287,"POLYGON ((-110 26, -109 26, -109 25, -110 25, -110 26))"
PG288,"POLYGON ((-110 27, -109 27, -109 26, -110 26, -110 27))"
PG289,"POLYGON ((-110 28, -109 28, -109 27, -110 27, -110 28))"
PG290,"POLYGON ((-110 29, -109 29, -109 28, -110 28, -110 29))"
PG291,"POLYGON ((-110 30, -109 30, -109 29, -110 29, -110 30))"
PG292,"POLYGON ((-110 31, -109 31, -109 30, -110 30, -110 31))"
PG293,"POLYGON ((-110 32, -109 32, -109 31, -110 31, -110 32))"
PG294,"POLYGON ((-110 33, -109 33, -109 32, -110 32, -110 33))"
PG295,"POLYGON ((-110 34, -109 34, -109 33, -110 33, -110 34))"
PG296,"POLYGON ((-110 35, -109 35, -109 34, -110 34, -110 35))"
PG297,"POLYGON ((-110 36, -109 36, -109 35, -110 35, -110 36))"
PG298,"POLYGON ((-109 10, -108 10, -108 9, -109 9, -109 10))"
PG299,"POLYGON ((-109 11, -108 11, -108 10, -109 10, -109 11))"
PG300,"POLYGON ((-109 12, -108 12, -108 11, -109 11, -109 12))"
PG301,"POLYGON ((-109 13, -108 13, -108 12, -109 12, -109 13))"
PG302,"POLYGON ((-109 14, -108 14, -108 13, -109 13, -109 14))"
PG303,"POLYGON ((-109 15, -108 15, -108 14, -109 14, -109 15))"
PG304,"POLYGON ((-109 16, -108 16, -108 15, -109 15, -109 16))"
PG305,"POLYGON ((-109 17, -108 17, -108 16, -109 16, -109 17))"
PG306,"POLYGON ((-109 18, -108 18, -108 17, -109 17, -109 18))"
PG307,"POLYGON ((-109 19, -108 19, -108 18, -109 18, -109 19))"
PG308,"POLYGON ((-109 20, -108 20, -108 19, -109 19, -109 20))"
PG309,"POLYGON ((-109 21, -108 21, -108 20, -109 20, -109 21))"
PG310,"POLYGON ((-109 22, -108 22, -108 21, -109 21, -109 22))"
PG311,"POLYGON ((-109 23, -108 23, -108 22, -109 22, -109 23))"
PG312,"POLYGON ((-109 24, -108 24, -108 23, -109 23, -109 24))"
PG313,"POLYGON ((-109 25, -108 25, -108 24, -109 24, -109 25))"
PG314,"POLYGON ((-109 26, -108 26, -108 25, -109 25, -109 26))"
PG315,"POLYGON ((-109 27, -108 27, -108 26, -109 26, -109 27))"
PG316,"POLYGON ((-109 28, -108 28, -108 27, -109 27, -109 28))"
PG317,"POLYGON ((-109 29, -108 29, -108 28, -109 28, -109 29))"
PG318,"POLYGON ((-109 30, -108 30, -108 29, -109 29, -109 30))"
PG319,"POLYGON ((-109 31, -108 31, -108 30, -109 30, -109 31))"
PG320,"POLYGON ((-109 32, -108 32, -108 31, -109 31, -109 32))"
PG321,"POLYGON ((-109 33, -108 33, -108 32, -109 32, -109 33))"
PG322,"POLYGON ((-109 34, -108 34, -108 33, -109 33, -109 34))"
PG323,"POLYGON ((-109 35, -108 35, -108 34, -109 34, -109 35))"
PG324,"POLYGON ((-109 36, -108 36, -108 35, -109 35, -109 36))"
