name,ciudad,estado,tipo,subtipo,latitud,longitud,ID_Poligono,direccion
Servicios para una educacion alternativa A.C. (EDUCA) ,"San Jacinto Amilpas, Oaxaca",Oaxaca,OSC / ONG,Centros de Asistencia Social,17.08176541,-96.70567367,PG630,"Escuadron 202 No. 203, Col. Antiguo Aeropuerto,Oaxaca, Oaxaca"
Papa Francisco,"Comitan de Dominguez, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.91400204,-92.0973802,PG737,"2a Calle Norte Pte. s/n, entre 2a y 3a Av. Poniente Nte."
Casa del Migrante Ruchagalu ,"Matias Romero Avendano, Oaxaca",Oaxaca,OSC / ONG,Centros de Asistencia Social,16.8928423,-95.0401948,PG656,"Av. Primero de mayo #1110, Col. Rincon Viejo, Santa Maria Petapa, C.P. 70370,Matias Romero, Oaxaca"
Centro Casa Origen ,"Acapulco de Juarez, Guerrero",Guerrero,OSC / ONG,Centros de Asistencia Social,16.85862817,-99.84405793,PG548,"Unidad Habitacional Colosio, Condominio Obsidiana No. 51, Puerto Marquez, Acapulco, Guerrero. C.P. 39890,Acapulco, Guerrero"
Los Ninos son de Cristo,"Chiapa de Corzo, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.78385353,-93.10146727,PG710,"Calle Chicoasen 309, Col. Cruz con Casitas Tuxtla Gutierrez, Chiapas."
Jesus Esperanza en el Camino,"Chiapa de Corzo, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.74115429,-93.11949535,PG710,"1a calle Pte y 16 sur 1664, Barrio San Francisco C.P. 26066"
Boca de Polen Red de Comunicadores ,"Comitan de Dominguez, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.7347597,-92.6348168,PG737,"Josefa Ortiz de Dominguez No 28 Int. 1, Barrio de Santa Lucia C.P. 29250,San Cristobal Las Casas, Chiapas"
San Martin de Porres,"Comitan de Dominguez, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.728848,-92.6370824,PG737,"Prol. Insurgentes 87, Barrio de San Diego C.P. 29200"
Casa Hogar Alegre Odres Nuevos A.C.,"Chiapa de Corzo, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.72488586,-93.08896792,PG710,"Calle Marcelino Alvarez No. 450 Col. Rivera Cerro Hueco. Tuxtla Gutierrez, Chiapas."
Capilla-Albergue Hermanos en el Camino A.C. ,"Matias Romero Avendano, Oaxaca",Oaxaca,OSC / ONG,Centros de Asistencia Social,16.5489586,-95.1027582,PG656,"Av. Ferrocarril Pte. #60, Barrio ""La Soledad"" C.P. 70110,Ciudad Ixtepec, Oaxaca"
Casa del Migrante Hogar de la Misericordia ,"Chiapa de Corzo, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.26845702,-93.88857735,PG710,"Calle Quinta Sur #1420, Col. Playa Fina C.P. 30450,Arriaga, Chiapas"
El Faro de Esperanza A. C.,"Chiapa de Corzo, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.2355405,-93.90028174,PG710,"Carretera Panamericana Km. 980, Cintalapa, Chiapas."
Hogar de la Misericordia,"Chiapa de Corzo, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.23520437,-93.89927484,PG710,"5ta. Sur 1420, Col. Playa fina C.P. 30450"
Mambre,"Comitan de Dominguez, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.1997149,-92.13122646,PG737,"Real Chichima s/n, Col. Chichima Guadalupe C.P. 30000"
Hermanos del Camino,"Comitan de Dominguez, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,16.12003261,-92.0520058,PG737,"Ejido Emiliano Zapata, por carretera Palenque- La Trinitaria, Km. 60 (Domicilio conocido)"
San Pedro Apostol,"Pijijiapan, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,15.6764001,-93.208182,PG709,"3a Sur s/n, esquina 2a Oriente C.P. 30560"
"Casa de Paso del Migrante, A.C.","Huixtla, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,15.14024821,-92.46734182,PG736,"Avenida Galeana #9-A, Colonia Centro, C.P. 30640, Huixtla, Chiapas, Mexico"
Albergue infantil La Esperanza ,"Tapachula, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,14.9249056,-92.2560801,PG735,"3ra. Calle Ote. #37, Col. Centro C.P. 30830,Tapachula, Chiapas"
"Centro de Atencion a ninas, ninos y jovenes migrantes ","Tapachula, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,14.9185043,-92.2514658,PG735,"Calle Quinta, Privada sur #29, esquina 4ta Oriente C.P. 30830,Tapachula, Chiapas"
Todo por Ellos,"Tapachula, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,14.91297408,-92.2680892,PG735,"Calle 14 Norte 30, Col. Centro C.P. 30700"
Albergue Municipal para Ninas y Ninos Migrantes,"Tapachula, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,14.9105486,-92.2700666,PG735,"6a. Norte y 19a. Poniente, Col. Centro Tapachula, Chiapas. C.P. 30700"
SMR: Scalabrinianas Mision con Migrantes y Refugiados en Tapachula ,"Tapachula, Chiapas",Chiapas,OSC / ONG,Centros de Asistencia Social,14.90972013,-92.25802443,PG735,"5a  Avenida Nte. 46, esquina con 9a Oriente, Los Naranjos, Centro, 30830 Tapachula de Cordova y Ordonez, Chiapas.,Tapachula, Chiapas"
