Arc,From_Node,To_Node,origen_xy,destino_xy
PG1378-PG1379,PG1378,PG1379,"17.9487862, -94.9145752","18.4633672, -95.1983153392005"
PG1379-PG1340,PG1379,PG1340,"18.4633672, -95.1983153392005","18.82874235, -95.9238540059007"
PG1454-PG1455,PG1454,PG1455,"16.7931431, -93.4569635533782","17.2364959, -93.6349751688609"
PG1455-PG1456,PG1455,PG1456,"17.2364959, -93.6349751688609","17.7620967, -93.6634408051158"
PG1456-PG1417,PG1456,PG1417,"17.7620967, -93.6634408051158","18.0899541, -94.1623630522383"
PG1494-PG1455,PG1494,PG1455,"17.5566526, -92.9480504","17.2364959, -93.6349751688609"
PG1493-PG1494,PG1493,PG1494,"16.753801, -93.115959","17.5566526, -92.9480504"
PG1494-PG1456,PG1494,PG1456,"17.5566526, -92.9480504","17.7620967, -93.6634408051158"
PG1494-PG1495,PG1494,PG1495,"17.5566526, -92.9480504","18.0271588, -92.7747911804616"
PG1495-PG1417,PG1495,PG1417,"18.0271588, -92.7747911804616","18.0899541, -94.1623630522383"
PG1532-PG1533,PG1532,PG1533,"16.6835469, -92.6155184199116","17.4348976, -92.2248024988609"
PG1533-PG1534,PG1533,PG1534,"17.4348976, -92.2248024988609","17.760922, -92.596108"
PG1534-PG1456,PG1534,PG1456,"17.760922, -92.596108","17.7620967, -93.6634408051158"
PG1534-PG1495,PG1534,PG1495,"17.760922, -92.596108","18.0271588, -92.7747911804616"
PG1572-PG1573,PG1572,PG1573,"17.4707129, -91.4220212","17.79751665, -91.3458588938522"
PG1573-PG1534,PG1573,PG1534,"17.79751665, -91.3458588938522","17.760922, -92.596108"
PG1769-PG1730,PG1769,PG1730,"18.6782559, -88.3922556","18.43704555, -88.8257581580335"
PG1730-PG1690,PG1730,PG1690,"18.43704555, -88.8257581580335","18.1073406, -89.8083280398131"
PG1690-PG1613,PG1690,PG1613,"18.1073406, -89.8083280398131","18.606934, -90.7385823"
PG1613-PG1573,PG1613,PG1573,"18.606934, -90.7385823","17.79751665, -91.3458588938522"
PG1613-PG1574,PG1613,PG1574,"18.606934, -90.7385823","18.651739, -91.81492"
PG1574-PG1456,PG1574,PG1456,"18.651739, -91.81492","17.7620967, -93.6634408051158"
PG1574-PG1495,PG1574,PG1495,"18.651739, -91.81492","18.0271588, -92.7747911804616"
PG1810-PG1769,PG1810,PG1769,"20.1692965, -87.4495481261673","18.6782559, -88.3922556"
PG1695-PG1694,PG1695,PG1694,"21.2822136, -89.6636637","20.9670759, -89.6237402"
PG1694-PG1654,PG1694,PG1654,"20.9670759, -89.6237402","19.830285751988, -90.5355146399854"
PG1654-PG1614,PG1654,PG1614,"19.830285751988, -90.5355146399854","19.3439655, -90.7242742"
