,nommun,cvemun,estado,region,id_poligon,eventos,inm_30km,sc_30km,geometry
168,"Cadereyta Jimenez, Nuevo Leon",8052,Nuevo Leon,Golfo,PG1116,83,0,5,POINT (-99.8711735172066 25.517337)
169,"San Nicolas de los Garza, Nuevo Leon",,Nuevo Leon,Golfo,PG1116,50,1,99,POINT (-100.289648 25.7558021)
170,"Cienega de Flores, Nuevo Leon",13048,Nuevo Leon,Golfo,PG1116,41,0,27,POINT (-100.1662028 25.956169)
171,"El Carmen, Nuevo Leon",20421,Nuevo Leon,Golfo,PG1116,35,0,56,POINT (-100.3613419 25.9368419)
172,"General Zuazua, Nuevo Leon",20121,Nuevo Leon,Golfo,PG1116,35,0,40,POINT (-100.1078021 25.8953873)
173,"Hualahuises, Nuevo Leon",20293,Nuevo Leon,Golfo,PG1154,34,0,1,POINT (-99.6739794 24.8838044)
174,"Santiago, Nuevo Leon",29006,Nuevo Leon,Golfo,PG1116,23,0,23,POINT (-100.1513376 25.4243595)
175,"Linares, Nuevo Leon",4008,Nuevo Leon,Golfo,PG1154,19,0,1,POINT (-99.5684539 24.8596282)
176,"Salinas Victoria, Nuevo Leon",1005,Nuevo Leon,Golfo,PG1117,18,0,0,POINT (-100.327087699587 26.1216805)
177,"Garcia, Nuevo Leon",7032,Nuevo Leon,Golfo,PG1077,17,1,99,POINT (-100.4018251 25.6651753)
178,"Paras, Nuevo Leon",29014,Nuevo Leon,Golfo,PG1156,13,0,0,POINT (-99.5229954 26.4993853)
179,"Doctor Arroyo, Nuevo Leon",,Nuevo Leon,Golfo,PG1113,11,0,0,POINT (-100.225663498075 23.80420455)
180,"Los Ramones, Nuevo Leon",29044,Nuevo Leon,Golfo,PG1155,7,0,0,POINT (-99.6250811 25.6973768)
181,"Aramberri, Nuevo Leon",11027,Nuevo Leon,Golfo,PG1114,4,0,0,POINT (-99.9241345206951 24.22172555)
182,"Montemorelos, Nuevo Leon",7094,Nuevo Leon,Golfo,PG1115,1,0,0,POINT (-99.8293539 25.1886604)
183,"San Pedro Garza Garcia, Nuevo Leon",25011,Nuevo Leon,Golfo,PG1077,1,1,99,POINT (-100.4018251 25.6651753)
184,"Juchitan de Zaragoza, Oaxaca",,Oaxaca,Sur,PG1376,2625,1,2,POINT (-94.9118794582709 16.413329)
185,"Oaxaca de Juarez, Oaxaca",22016,Oaxaca,Sur,PG1299,1217,1,8,POINT (-96.7253575 17.0604663)
186,"Santa Maria Jalapa del Marques, Oaxaca",20067,Oaxaca,Sur,PG1376,1265,0,0,POINT (-95.4448148 16.4403557)
187,"Santa Cruz Xoxocotlan, Oaxaca",7078,Oaxaca,Sur,PG1299,750,1,8,POINT (-96.733333 17.026389)
188,"San Pablo Huitzo, Oaxaca",7078,Oaxaca,Sur,PG1299,728,0,6,POINT (-96.8866692 17.2777969)
189,"Tlacolula de Matamoros, Oaxaca",23004,Oaxaca,Sur,PG1298,351,0,2,POINT (-96.4611074593091 16.9314623)
190,"San Pedro Tapanatepec, Oaxaca",,Oaxaca,Sur,PG1415,283,1,0,POINT (-94.1927528 16.3689223)
191,"Santo Domingo Tehuantepec, Oaxaca",,Oaxaca,Sur,PG1376,222,0,1,POINT (-95.2468005 16.3172613)
192,"Santa Maria Huatulco, Oaxaca",19031,Oaxaca,Sur,PG1297,163,1,0,POINT (-96.3214401 15.8337711)
193,"Matias Romero Avendano, Oaxaca",20413,Oaxaca,Sur,PG1376,157,0,1,POINT (-95.0405586 16.8761133)
194,"Salina Cruz, Oaxaca",,Oaxaca,Sur,PG1375,155,0,1,POINT (-95.195833 16.1825)
195,"San Miguel Tequixtepec, Oaxaca",,Oaxaca,Sur,PG1261,1,0,0,POINT (-97.340556 17.801944)
196,"San Juan Bautista Tuxtepec, Oaxaca",28004,Oaxaca,Sur,PG1339,108,0,1,POINT (-96.1227767 18.0874632)
197,"Villa de Zaachila, Oaxaca",19009,Oaxaca,Sur,PG1298,78,1,8,POINT (-96.749167 16.950833)
198,"Chahuites, Oaxaca",,Oaxaca,Sur,PG1414,54,1,0,POINT (-94.1942777 16.2885299)
199,"San Francisco Telixtlahuaca, Oaxaca",20025,Oaxaca,Sur,PG1260,49,0,0,POINT (-96.9056112 17.296628)
200,"Heroica Ciudad de Huajuapan de Leon, Oaxaca",20150,Oaxaca,Sur,PG1222,46,0,1,POINT (-97.7780564 17.808846)
201,"San Jacinto Amilpas, Oaxaca",29008,Oaxaca,Sur,PG1299,45,1,8,POINT (-96.7606784 17.1011376)
202,"Santo Domingo Yanhuitlan, Oaxaca",20039,Oaxaca,Sur,PG1260,44,0,0,POINT (-97.3421502 17.5273478)
203,"Villa de Tututepec, Oaxaca",11017,Oaxaca,Sur,PG1219,37,0,0,POINT (-97.6080871 16.1303062)
204,"Santa Maria Mixtequilla, Oaxaca",,Oaxaca,Sur,PG1376,37,0,3,POINT (-95.259722 16.374444)
205,"San Bartolo Soyaltepec, Oaxaca",32005,Oaxaca,Sur,PG1260,36,0,0,POINT (-97.3119436609311 17.57706925)
206,"San Pedro Pochutla, Oaxaca",19012,Oaxaca,Sur,PG1297,36,1,0,POINT (-96.465278 15.744444)
207,"San Pablo Etla, Oaxaca",20334,Oaxaca,Sur,PG1299,35,1,8,POINT (-96.7644253 17.1450449)
208,"San Andres Huaxpaltepec, Oaxaca",19029,Oaxaca,Sur,PG1220,31,0,0,POINT (-97.9346251942668 16.3411829)
209,"Concepcion Buenavista, Oaxaca",11009,Oaxaca,Sur,PG1261,25,0,0,POINT (-97.4004708 17.8781515)
210,"San Pedro Totolapam, Oaxaca",13051,Oaxaca,Sur,PG1258,20,0,1,POINT (-97.0043148 15.8659835)
211,"Santiago Niltepec, Oaxaca",,Oaxaca,Sur,PG1415,14,0,0,POINT (-94.6131085 16.5614134)
212,"Miahuatlan de Porfirio Diaz, Oaxaca",28002,Oaxaca,Sur,PG1298,12,0,0,POINT (-96.5850578538718 16.3610815)
213,"Asuncion Nochixtlan, Oaxaca",12038,Oaxaca,Sur,PG1260,13,0,0,POINT (-97.225 17.457222)
214,"El Espinal, Oaxaca",20006,Oaxaca,Sur,PG1376,10,1,2,POINT (-95.0581833048719 16.4609135)
215,"Santa Maria Coyotepec, Oaxaca",20006,Oaxaca,Sur,PG1298,9,1,8,POINT (-96.7108042440475 16.9716988)
216,"Ciudad Ixtepec, Oaxaca",,Oaxaca,Sur,PG1376,10,1,2,POINT (-95.0959653 16.5564139)
217,"San Dionisio Ocotepec, Oaxaca",,Oaxaca,Sur,PG1298,7,0,0,POINT (-96.3960971 16.7975187)
218,"Santiago Pinotepa Nacional, Oaxaca",26035,Oaxaca,Sur,PG1220,7,0,0,POINT (-98.0536701 16.3406076)
219,"Santa Lucia del Camino, Oaxaca",7021,Oaxaca,Sur,PG1299,6,1,8,POINT (-96.693333 17.0625)
220,"San Jose Tenango, Oaxaca",29035,Oaxaca,Sur,PG1300,115,0,1,POINT (-96.716667 18.15)
221,"San Bartolo Coyotepec, Oaxaca",20171,Oaxaca,Sur,PG1298,5,1,8,POINT (-96.7066199 16.9575983)
222,"Santa Maria Atzompa, Oaxaca",7108,Oaxaca,Sur,PG1299,4,1,8,POINT (-96.7777739 17.1011053)
