nombre,ciudad,estado,latitud,longitud,codigo_ruta,ID_Poligon,codigo_unico,detenciones,conteo_puntos
"Texcoco, Estado de Mexico","Texcoco, Estado de Mexico",Estado de Mexico,19.5144327,-98.8821254,C,PG1185,C-PG1185-4,,0
"Amecameca, Estado de Mexico","Amecameca, Estado de Mexico",Estado de Mexico,19.120025400000003,-98.70653181362624,C,PG1185,C-PG1185-5,,0
"Calpulalpan, Tlaxcala","Calpulalpan, Tlaxcala",Tlaxcala,19.587778,-98.569167,C,PG1185,C-PG1185-6, 25,0
"Tepeapulco, Hidalgo","Tepeapulco, Hidalgo",Hidalgo,19.7875962,-98.5522855,C,PG1185,C-PG1185-7, 35,0
"Emiliano Zapata, Hidalgo","Emiliano Zapata, Hidalgo",Hidalgo,19.6546865,-98.544552,C,PG1185,C-PG1185-8, 1,0
"Nanacamilpa de Mariano Arista, Tlaxcala","Nanacamilpa de Mariano Arista, Tlaxcala",Tlaxcala,19.5080315,-98.54324076456274,C,PG1185,C-PG1185-9, 2,0
"Sanctorum de Lazaro Cardenas, Tlaxcala","Sanctorum de Lazaro Cardenas, Tlaxcala",Tlaxcala,19.4925,-98.471944,C,PG1185,C-PG1185-10, 13,0
"Apan, Hidalgo","Apan, Hidalgo",Hidalgo,19.7098559,-98.4502318,C,PG1185,C-PG1185-11, 4,0
"Ixtacuixtla de Mariano Matamoros, Tlaxcala","Ixtacuixtla de Mariano Matamoros, Tlaxcala",Tlaxcala,19.34670365,-98.37815810373962,C,PG1185,C-PG1185-12,2 539,1
"Hueyotlipan, Tlaxcala","Hueyotlipan, Tlaxcala",Tlaxcala,19.469444,-98.348056,C,PG1185,C-PG1185-13, 14,1
"Nativitas, Tlaxcala","Nativitas, Tlaxcala",Tlaxcala,19.233333,-98.314722,C,PG1185,C-PG1185-14, 17,2
"Tizayuca, Hidalgo","Tizayuca, Hidalgo",Hidalgo,19.841245,-98.9815648,C,PG1186,C-PG1186-1, 14,0
"Actopan, Hidalgo","Actopan, Hidalgo",Hidalgo,20.2687373,-98.9431476,C,PG1186,C-PG1186-2, 2,1
"Tolcayuca, Hidalgo","Tolcayuca, Hidalgo",Hidalgo,19.956667,-98.920278,C,PG1186,C-PG1186-3, 3,1
"Villa de Tezontepec, Hidalgo","Villa de Tezontepec, Hidalgo",Hidalgo,19.9143587,-98.80032767789965,C,PG1186,C-PG1186-4, 14,1
"Pachuca de Soto, Hidalgo","Pachuca de Soto, Hidalgo",Hidalgo,20.1165413,-98.7413535,C,PG1186,C-PG1186-5, 44,1
"Mineral de la Reforma, Hidalgo","Mineral de la Reforma, Hidalgo",Hidalgo,20.06063885,-98.73057242363193,C,PG1186,C-PG1186-6, 22,1
"Epazoyucan, Hidalgo","Epazoyucan, Hidalgo",Hidalgo,20.0181268,-98.6364294,C,PG1186,C-PG1186-7, 1,1
"Huasca de Ocampo, Hidalgo","Huasca de Ocampo, Hidalgo",Hidalgo,20.2231549,-98.5552467331717,C,PG1186,C-PG1186-8, 1,1
"Tulancingo de Bravo, Hidalgo","Tulancingo de Bravo, Hidalgo",Hidalgo,20.0792094,-98.3475328,C,PG1186,C-PG1186-9, 19,0
"Chapulhuacan, Hidalgo","Chapulhuacan, Hidalgo",Hidalgo,21.1263192,-98.95211915598163,C,PG1187,C-PG1187-1, 18,0
"El Mante, Tamaulipas","El Mante, Tamaulipas",Tamaulipas,22.60787365,-98.93534140593027,G,PG1190,G-PG1190-1, 6,0
"Gonzalez, Tamaulipas","Gonzalez, Tamaulipas",Tamaulipas,22.790387350000003,-98.57631895542931,G,PG1190,G-PG1190-2, 8,0
"Jimenez, Tamaulipas","Jimenez, Tamaulipas",Tamaulipas,24.2169169,-98.483929,G,PG1192,G-PG1192-1, 1,0
"Cruillas, Tamaulipas","Cruillas, Tamaulipas",Tamaulipas,24.7554618,-98.5369904,G,PG1193,G-PG1193-1, 985,0
"China, Nuevo Leon","China, Nuevo Leon",Nuevo Leon,25.4915799,-98.98111150455688,G,PG1194,G-PG1194-1, 146,0
Camargo (terrestre),"Camargo , Tamaulipas",Tamaulipas,26.36283790368216,-98.80581265645236,FN,PG1195,FN-PG1195-1,0,1
"Villa de Tututepec, Oaxaca","Villa de Tututepec, Oaxaca",Oaxaca,16.1303062,-97.6080871,S,PG1219,S-PG1219-1, 37,0
"Santiago Pinotepa Nacional, Oaxaca","Santiago Pinotepa Nacional, Oaxaca",Oaxaca,16.3406076,-98.0536701,S,PG1220,S-PG1220-1, 7,0
"San Andres Huaxpaltepec, Oaxaca","San Andres Huaxpaltepec, Oaxaca",Oaxaca,16.3411829,-97.93462519426676,S,PG1220,S-PG1220-2, 31,0
"Santiago Juxtlahuaca, Oaxaca","Santiago Juxtlahuaca, Oaxaca",Oaxaca,17.334443,-98.010574,S,PG1221,S-PG1221-1, 1,0
"Heroica Ciudad de Huajuapan de Leon, Oaxaca","Heroica Ciudad de Huajuapan de Leon, Oaxaca",Oaxaca,17.808846,-97.7780564,S,PG1222,S-PG1222-1, 46,0
"Puebla, Puebla","Puebla, Puebla",Puebla,19.03840622797689,-98.2069491554557,C,PG1223,C-PG1223-1,5 069,1
"Zacatecas, Zacatecas","Zacatecas, Zacatecas",Zacatecas,19.039018782328817,-98.20248616428334,C,PG1223,C-PG1223-2, 986,1
"San Jeronimo Zacualpan, Tlaxcala","San Jeronimo Zacualpan, Tlaxcala",Tlaxcala,19.240833,-98.261389,C,PG1224,C-PG1224-1, 4,2
"San Juan Huactzinco, Tlaxcala","San Juan Huactzinco, Tlaxcala",Tlaxcala,19.2329326,-98.2520375,C,PG1224,C-PG1224-2, 1,2
"Zacatelco, Tlaxcala","Zacatelco, Tlaxcala",Tlaxcala,19.215833,-98.239722,C,PG1224,C-PG1224-3, 8,2
"Santa Cruz Quilehtla, Tlaxcala","Santa Cruz Quilehtla, Tlaxcala",Tlaxcala,19.212222,-98.221111,C,PG1224,C-PG1224-4, 9,2
"Atlangatepec, Tlaxcala","Atlangatepec, Tlaxcala",Tlaxcala,19.530833,-98.208333,C,PG1224,C-PG1224-5, 83,1
"Munoz de Domingo Arenas, Tlaxcala","Munoz de Domingo Arenas, Tlaxcala",Tlaxcala,19.474722,-98.208056,C,PG1224,C-PG1224-6, 2,1
"Papalotla de Xicohtencatl, Tlaxcala","Papalotla de Xicohtencatl, Tlaxcala",Tlaxcala,19.168611,-98.203889,C,PG1224,C-PG1224-7, 2,2
"Chiautempan, Tlaxcala","Chiautempan, Tlaxcala",Tlaxcala,19.313889,-98.1925,C,PG1224,C-PG1224-8, 16,2
"Apetatitlan de Antonio Carvajal, Tlaxcala","Apetatitlan de Antonio Carvajal, Tlaxcala",Tlaxcala,19.3505173,-98.19120205454092,C,PG1224,C-PG1224-9, 339,1
"Yauhquemehcan, Tlaxcala","Yauhquemehcan, Tlaxcala",Tlaxcala,19.4057444,-98.1824244,C,PG1224,C-PG1224-10, 101,1
"Tlaxco, Tlaxcala","Tlaxco, Tlaxcala",Tlaxcala,19.62058645,-98.17076010112392,C,PG1224,C-PG1224-11, 49,0
"Amaxac de Guerrero, Tlaxcala","Amaxac de Guerrero, Tlaxcala",Tlaxcala,19.348889,-98.167778,C,PG1224,C-PG1224-12, 1,1
"Tlaxcala, Tlaxcala","Tlaxcala, Tlaxcala",Tlaxcala,19.416667,-98.166667,C,PG1224,C-PG1224-13, 33,1
"San Pablo del Monte, Tlaxcala","San Pablo del Monte, Tlaxcala",Tlaxcala,19.12695185,-98.16539571695478,C,PG1224,C-PG1224-14, 2,2
"Apizaco, Tlaxcala","Apizaco, Tlaxcala",Tlaxcala,19.415556,-98.14,C,PG1224,C-PG1224-15, 134,1
"Tetla de la Solidaridad, Tlaxcala","Tetla de la Solidaridad, Tlaxcala",Tlaxcala,19.440556,-98.103333,C,PG1224,C-PG1224-16, 2,1
"Tzompantepec, Tlaxcala","Tzompantepec, Tlaxcala",Tlaxcala,19.38326045,-98.08616228147103,C,PG1224,C-PG1224-17, 33,1
"Xaloztoc, Tlaxcala","Xaloztoc, Tlaxcala",Tlaxcala,19.403611,-98.048611,C,PG1224,C-PG1224-18,4 231,1
"Tocatlan, Tlaxcala","Tocatlan, Tlaxcala",Tlaxcala,19.389167,-98.03,C,PG1224,C-PG1224-19, 7,1
"Huamantla, Tlaxcala","Huamantla, Tlaxcala",Tlaxcala,19.313427,-97.9230236,C,PG1224,C-PG1224-20, 73,1
"Ixtenco, Tlaxcala","Ixtenco, Tlaxcala",Tlaxcala,19.2518725,-97.8947561,C,PG1224,C-PG1224-21, 242,0
"Cuapiaxtla, Tlaxcala","Cuapiaxtla, Tlaxcala",Tlaxcala,19.2961777,-97.768912,C,PG1224,C-PG1224-22, 47,0
"Alamo Temapache, Veracruz","Alamo Temapache, Veracruz",Veracruz,20.995193200000003,-97.75578419140824,G,PG1226,G-PG1226-1, 1,0
"Ozuluama de Mascarenas, Veracruz","Ozuluama de Mascarenas, Veracruz",Veracruz,21.661111,-97.850556,G,PG1227,G-PG1227-1, 74,0
"Naranjos Amatlan, Veracruz","Naranjos Amatlan, Veracruz",Veracruz,21.3093326,-97.67600130026644,G,PG1227,G-PG1227-2, 21,0
"Panuco, Veracruz","Panuco, Veracruz",Veracruz,22.08052495,-98.23295792186904,G,PG1228,G-PG1228-1, 8,0
"Altamira, Tamaulipas","Altamira, Tamaulipas",Tamaulipas,22.3921625,-97.9362975,G,PG1228,G-PG1228-2, 833,1
