,sexo,edad,pais
543,Hombre,22,Guatemala
544,Hombre,23,Guatemala
545,Mujer,23,Guatemala
546,Hombre,24,Guatemala
547,Mujer,28,Guatemala
548,Mujer,23,Guatemala
549,Hombre,25,Guatemala
550,Hombre,23,Guatemala
551,Mujer,23,Guatemala
552,Hombre,23,Guatemala
553,Hombre,25,Guatemala
554,Hombre,25,Guatemala
555,Hombre,24,Guatemala
556,Mujer,20,Guatemala
557,Hombre,25,Guatemala
558,Mujer,23,Guatemala
559,Mujer,23,Guatemala
560,Hombre,19,Guatemala
561,Hombre,25,Guatemala
562,Hombre,25,Guatemala
563,Mujer,25,Guatemala
564,Hombre,23,Honduras
565,Hombre,23,Guatemala
566,Hombre,30,Guatemala
567,Hombre,21,Guatemala
568,Hombre,21,Guatemala
569,Mujer,22,Guatemala
570,Hombre,25,Guatemala
571,Hombre,22,Guatemala
572,Mujer,24,Guatemala
573,Hombre,25,Guatemala
574,Hombre,25,Guatemala
575,Hombre,20,Guatemala
576,Mujer,22,Guatemala
577,Hombre,23,Guatemala
578,Hombre,26,Guatemala
579,Mujer,23,Guatemala
580,Hombre,22,Guatemala
581,Hombre,24,Guatemala
582,Hombre,25,Guatemala
583,Hombre,24,Guatemala
584,Hombre,25,Guatemala
585,Mujer,24,Guatemala
586,Hombre,27,Guatemala
587,Mujer,21,Guatemala
588,Hombre,23,Guatemala
589,Mujer,36,Guatemala
590,Hombre,28,Guatemala
591,Mujer,27,Guatemala
592,Hombre,24,Guatemala
593,Hombre,21,Guatemala
594,Mujer,25,Guatemala
595,Mujer,17,Honduras
596,Hombre,22,Guatemala
597,Hombre,25,Guatemala
598,Hombre,22,Guatemala
599,Hombre,19,Guatemala
600,Hombre,20,Guatemala
601,Hombre,22,Guatemala
602,Mujer,24,Guatemala
603,Hombre,28,Guatemala
604,Mujer,19,Guatemala
605,Hombre,24,Guatemala
606,Hombre,25,Guatemala
607,Mujer,25,Guatemala
608,Mujer,23,Guatemala
609,Hombre,22,Guatemala
610,Mujer,21,Guatemala
611,Mujer,23,Guatemala
612,Hombre,19,Guatemala
613,Hombre,29,Honduras
614,Hombre,26,Guatemala
615,Hombre,27,Guatemala
616,Mujer,28,Honduras
617,Hombre,22,Guatemala
618,Hombre,31,Guatemala
619,Hombre,23,Guatemala
620,Hombre,21,Estados Unidos
621,Mujer,38,Guatemala
622,Hombre,32,Guatemala
623,Hombre,35,Guatemala
624,Hombre,30,Guatemala
625,Mujer,28,Guatemala
626,Hombre,23,Guatemala
627,Hombre,27,Estados Unidos
628,Hombre,32,Guatemala
629,Hombre,25,Guatemala
630,Mujer,20,Guatemala
631,Hombre,24,Guatemala
632,Hombre,50,Guatemala
633,Mujer,28,Guatemala
634,Hombre,28,Estados Unidos
635,Hombre,28,Guatemala
636,Hombre,28,Guatemala
637,Hombre,23,Guatemala
638,Mujer,68,Guatemala
639,Hombre,29,Guatemala
640,Mujer,19,Guatemala
641,Mujer,23,Guatemala
642,Hombre,49,Guatemala
643,Hombre,21,Guatemala
644,Mujer,18,Guatemala
645,Mujer,37,Guatemala
646,Hombre,53,Guatemala
647,Hombre,29,Guatemala
648,Hombre,45,Guatemala
649,Hombre,27,Guatemala
650,Hombre,22,Guatemala
651,Mujer,25,Estados Unidos
652,Hombre,19,Estados Unidos
653,Hombre,18,Estados Unidos
654,Hombre,24,Estados Unidos
655,Mujer,40,Honduras
656,Hombre,28,Estados Unidos
657,Mujer,19,Estados Unidos
658,Hombre,23,Estados Unidos
659,Hombre,19,Estados Unidos
660,Hombre,25,Estados Unidos
661,Hombre,18,Estados Unidos
662,Hombre,25,Estados Unidos
663,Hombre,24,El Salvador
664,Mujer,19,Honduras
665,Hombre,29,Guatemala
666,Mujer,28,El Salvador
667,Hombre,25,El Salvador
668,Hombre,36,México
669,Hombre,34,El Salvador
670,Mujer,19,Guatemala
671,Hombre,24,Guatemala
672,Hombre,20,Guatemala
673,Hombre,25,Guatemala
674,Hombre,24,Estados Unidos
675,Hombre,32,El Salvador
676,Mujer,19,Estados Unidos
677,Mujer,20,Honduras
678,Mujer,28,El Salvador
679,Hombre,26,Estados Unidos
680,Hombre,19,Estados Unidos
681,Hombre,21,Estados Unidos
682,Mujer,18,El Salvador
683,Mujer,22,Honduras
684,Mujer,23,El Salvador
685,Mujer,22,El Salvador
686,Mujer,24,Honduras
687,Mujer,27,El Salvador
688,Hombre,19,Estados Unidos
689,Mujer,21,El Salvador
690,Hombre,19,Estados Unidos
691,Mujer,19,Honduras
692,Mujer,19,Honduras
693,Hombre,25,Estados Unidos
694,Hombre,18,Guatemala
695,Hombre,34,Guatemala
696,Hombre,32,Estados Unidos
697,Mujer,27,Guatemala
698,Hombre,28,Estados Unidos
699,Mujer,23,Estados Unidos
700,Mujer,27,Guatemala
