name,descripcion,latitud,longitud,coordenadas,tipo,direccion,bd
 Asociación Mexicana de Uniones de Crédito del Sector Social (AMUCSS) ,,,,,OSC / ONG,"Hermosillo 14 código 2, Roma Sur Cuauhtémoc 06760,de México, CDMX Ciudad Ciudad de México, Ciudad de México",redes
" Instituto de Estudios y Divulgación sobre Migración, AC (INEDIM) ",,,,,OSC / ONG,"Calle Mexicali 4 Hipódromo 06100,de México, CDMX Ciudad Ciudad de México, Ciudad de México",redes
 New Comienzos A.C. ,,,,,OSC / ONG,"Plaza de la República Centro Histórico, CDMX,Ciudad de México, Ciudad de México",redes
 Fundación Origen A.C. ,,,,,OSC / ONG,"Juan O'donojú 221, Lomas Virreyes, Lomas de Chapultepec IV Secc, 11000,de México, CDMX Ciudad Ciudad de México, Ciudad de México",redes
 Lasos de Union por Durango AC ,,,,,OSC / ONG,"Villa Union Poanas, Durango,Durango, Durango",redes
 Casa del Migrante El Samaritano ,,,,,OSC / ONG,"Av. del Bosque 360, U.H. Antonio Osorio de León, Col. Bojay, Atitalaquia, Hidalgo. C.P. 42970,Atitalaquia, Hidalgo",redes
" El Diamante de Fuego, AC ",,,,,OSC / ONG,"V Carranza 528, San Clemente C.P. 42070,Pachuca, Hidalgo",redes
 HERMANAS de los Sagrados Corazones Casa del Migrante “El Samaritano” ,,,,,OSC / ONG,"Av. del Bosque 360, U.H. Antonio Osorio de León, Col. Bojay, Atitalaquia, Hidalgo.,Bojay, Hidalgo",redes
 La casa del migrante del Cerro del Cuatro ,,,,,OSC / ONG,"Constitución 332 esquina con Ignacio Mejia, Col. Cerro del 4 C.P. 45599,Tlaquepaque, Jalisco",redes
 Instituto Jalisciense para los Migrantes ,,,,,OSC / ONG,"Calle Penitenciaria 180, Colonia Americana, CP. 44160,Guadalajara, Jalisco",redes
" Dignidad y Justicia en el Camino, AC (FM4-Paso Libre) ",,,,,OSC / ONG,"Calderón de la Barca #468-A, Col. Arcos Vallarta, C.P. 44130,Guadalajara, Jalisco",redes
 UVEMAC ,,,,,OSC / ONG,"Av. Lago Xochimilco # 381. Col. Ampliación Vicente Villada,Nezahualcóyotl, 57710  Ciudad Ciudad Nezahualcóyotl, Estado de México",redes
 Centro Casa Origen ,,,,,OSC / ONG,"Calle sin nombre CP 50960,Villa Victoria, Estado de México",redes
 Instituto del Rincón A.C. ,,,,,OSC / ONG,"Avenida Morelos No. 124 CP 52440,Malinalco, Estado de México",redes
 Deportados Unidos en la Lucha ,,,,,OSC / ONG,"Valle de Arriba 66-2 Valle de Aragon 1era seccion., 57100,Nezahualcóyotl,, de México Ciudad Ciudad Nezahualcóyotl Estado Estado de México",redes
 Albergue Casa del Migrante San Juan Diego ,,,,,OSC / ONG,"Camino Tequixquiac km 50.5, Barrio San Bartolo,Huehuetoca, Estado de México",redes
" Centro de Derechos Humanos de la Montaña Tlachinollan, AC ",,,,,OSC / ONG,"Mina #77 Col. Centro C.P 41300,Tlapa, Guerrero",redes
